ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2020-07-15T04:48:36Z,Windows 10 (10.0.18363; x64),220090,JP,150.65.234.104,,,,,Episode 5 - Hobi,Podcast Katek Obat,spotify:episode:2pQg574PIXYds6qxPAWde5,,,,,clickrow,logout,False,False,False,,False
2020-08-04T02:20:19Z,Windows 10 (10.0.18362; x64),7280,JP,150.65.109.33,,,,,Introducing The Umbrella Academy Season 2 | Behind The Scenes,Behind The Scenes,spotify:episode:3fxkF3Pwyn5RAPwA1XNYaG,,,,,clickrow,endplay,False,False,False,,False
2020-11-12T01:55:22Z,Windows 10 (10.0.18362; x64),2152140,JP,150.65.109.33,,,,,Human Computer Interaction and Online Privacy,Data Skeptic,spotify:episode:2A4XJmFGT536JTH3sAPjze,,,,,clickrow,trackdone,False,False,False,,False
2020-11-12T01:55:52Z,Windows 10 (10.0.18362; x64),28260,JP,150.65.109.33,,,,,Authorship Attribution of Lennon McCartney Songs,Data Skeptic,spotify:episode:63jCTQGdLQWJpIF7D77p3i,,,,,trackdone,endplay,False,False,False,,False
2020-11-12T01:56:12Z,Windows 10 (10.0.18362; x64),19430,JP,150.65.109.33,,,,,Sentiment Preserving Fake Reviews,Data Skeptic,spotify:episode:7KTl4Mi25oDishdu8lia1t,,,,,clickrow,endplay,False,False,False,,False
2020-11-12T01:56:31Z,Windows 10 (10.0.18362; x64),18620,JP,150.65.109.33,,,,,"AlphaGo, COVID-19 Contact Tracing and New Data Set",Data Skeptic,spotify:episode:0pjXUC37WvKF1vsJ1zNVlN,,,,,clickrow,endplay,False,False,False,,False
2020-11-12T05:19:54Z,Windows 10 (10.0.18362; x64),358770,JP,150.65.109.33,,,,,Fooling Computer Vision,Data Skeptic,spotify:episode:23LatFx00KQ5Qm3FljNeQn,,,,,clickrow,endplay,False,False,False,,False
2020-11-17T04:08:13Z,Windows 10 (10.0.18362; x64),8683,JP,150.65.109.33,,,,,[MINI] Auto-correlative functions and correlograms,Data Skeptic,spotify:episode:0AlSrAI9C3x0mqBVsYhCwH,,,,,trackdone,endplay,True,False,False,,False
2020-11-17T04:08:39Z,Windows 10 (10.0.18362; x64),25450,JP,150.65.109.33,,,,,Black Boxes Are Not Required,Data Skeptic,spotify:episode:1TmGBjsR2PjFvSClgLfc4X,,,,,clickrow,endplay,False,False,False,,False
2020-12-04T23:42:21Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",2941555,JP,103.90.19.225,,,,,Level Design Lobby - Ep 15: Procedural Level Design,Level Design Lobby,spotify:episode:35aetkSeQ3AX8eRfxbQl2Q,,,,,clickrow,endplay,False,False,False,,False
2020-12-05T09:19:18Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",756920,JP,103.90.18.12,,,,,Open World vs Linear Level Design//LDL#84,Level Design Lobby,spotify:episode:7CW2GoWgw0SAPR8gCNtQz5,,,,,clickrow,logout,False,False,False,,False
2020-12-05T09:19:24Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",4542,JP,103.90.18.12,,,,,Open World vs Linear Level Design//LDL#84,Level Design Lobby,spotify:episode:7CW2GoWgw0SAPR8gCNtQz5,,,,,appload,backbtn,False,False,False,,False
2020-12-05T09:19:25Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",0,JP,103.90.18.12,,,,,Virtual Cities - Konstantinos Dimopoulos/LDL #83,Level Design Lobby,spotify:episode:1i5GILpStxCOXkq96AtbBt,,,,,backbtn,backbtn,False,False,False,,False
2020-12-05T09:19:26Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",0,JP,103.90.18.12,,,,,Level Design Resources - Ep 36,Level Design Lobby,spotify:episode:1A2XbjC0ioEKGxbJJKCpBY,,,,,backbtn,fwdbtn,False,False,False,,False
2020-12-05T09:19:27Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",0,JP,103.90.18.12,,,,,Virtual Cities - Konstantinos Dimopoulos/LDL #83,Level Design Lobby,spotify:episode:1i5GILpStxCOXkq96AtbBt,,,,,fwdbtn,fwdbtn,False,False,False,,False
2020-12-05T22:37:20Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",1169034,JP,219.100.181.152,,,,,Open World vs Linear Level Design//LDL#84,Level Design Lobby,spotify:episode:7CW2GoWgw0SAPR8gCNtQz5,,,,,fwdbtn,logout,False,False,False,,False
2020-12-05T23:05:31Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",1058388,JP,219.100.181.152,,,,,Level Design Lobby - Ep73: Andrei Dubinin HyperCasua,Level Design Lobby,spotify:episode:7zBrXnZUfnXIyyaa0qrLcQ,,,,,clickrow,endplay,False,False,False,,False
2020-12-05T23:08:47Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",194241,JP,219.100.181.152,,,,,Level Design Lobby - Ep 69: Choices,Level Design Lobby,spotify:episode:0MVUOkqnerFQDILqnGc1hu,,,,,clickrow,endplay,False,False,False,,False
2021-01-22T02:47:28Z,web_player windows 10;firefox 83.0;desktop,35775,JP,150.65.109.33,,,,,Obsessive Compulsive Disorder,The MIND Mental Health Podcast,spotify:episode:0z2MgyYMsfTKzuDlFMuSzI,,,,,remote,remote,False,False,False,,False
2021-01-22T02:47:31Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",3576,JP,150.65.109.33,,,,,A Look Into Imposter Syndrome,The MIND Mental Health Podcast,spotify:episode:47H3QNNhdT5JVCGXwDhOY0,,,,,clickrow,remote,False,False,False,,False
2021-01-22T07:00:15Z,Windows 10 (10.0.18363; x64),904190,JP,150.65.109.33,,,,,A Look Into Imposter Syndrome,The MIND Mental Health Podcast,spotify:episode:47H3QNNhdT5JVCGXwDhOY0,,,,,remote,remote,False,False,False,,False
2021-01-22T07:18:26Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",1094045,JP,219.100.181.202,,,,,A Look Into Imposter Syndrome,The MIND Mental Health Podcast,spotify:episode:47H3QNNhdT5JVCGXwDhOY0,,,,,appload,endplay,False,False,True,1611298813180.0,False
2021-01-22T07:34:55Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",858984,JP,219.100.181.202,,,,,[MINI] k-means clustering,Data Skeptic,spotify:episode:3z515pGwr1CvBLxymQ1IBi,,,,,clickrow,trackdone,False,False,False,,False
2021-01-22T07:46:13Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",676987,JP,219.100.181.202,,,,,NYC Speed Camera Analysis with Tim Schmeier,Data Skeptic,spotify:episode:0WzNOPIvhNhBR8Jy7LnIdx,,,,,trackdone,backbtn,False,False,False,,False
